"BusinessEntityID","CreditCardID","ModifiedDate"
"293","17038","2013-07-31 00:00:00"
"295","15369","2011-08-01 00:00:00"
"297","8010","2011-08-01 00:00:00"
"299","5316","2013-07-31 00:00:00"
"301","6653","2011-05-31 00:00:00"
"303","9010","2012-07-31 00:00:00"
"305","8937","2011-05-31 00:00:00"
"307","16124","2012-10-30 00:00:00"
"309","9478","2011-07-01 00:00:00"
"311","17600","2011-08-01 00:00:00"
"313","1970","2013-06-30 00:00:00"
"315","8274","2013-07-31 00:00:00"
"317","13045","2011-05-31 00:00:00"
"319","13601","2011-08-01 00:00:00"
"323","5958","2012-07-31 00:00:00"
"325","10709","2012-05-30 00:00:00"
"327","126","2013-07-31 00:00:00"
"329","6626","2013-05-30 00:00:00"
"331","14963","2012-06-30 00:00:00"
"333","18100","2011-08-01 00:00:00"
"335","12823","2013-03-30 00:00:00"
"337","11434","2013-06-30 00:00:00"
"339","13160","2011-07-01 00:00:00"
"341","3787","2011-10-31 00:00:00"
"343","8979","2011-07-01 00:00:00"
"345","14729","2011-07-01 00:00:00"
"347","6264","2011-07-01 00:00:00"
"349","2273","2013-07-31 00:00:00"
"351","18154","2012-06-30 00:00:00"
"353","18257","2013-07-31 00:00:00"
"355","14184","2011-07-01 00:00:00"
"357","11472","2013-06-30 00:00:00"
"359","10785","2013-06-30 00:00:00"
"361","4215","2011-08-01 00:00:00"
"363","2396","2013-06-30 00:00:00"
"365","4983","2012-05-30 00:00:00"
"367","1660","2011-07-01 00:00:00"
"369","17861","2011-07-01 00:00:00"
"371","15321","2011-07-01 00:00:00"
"373","3756","2013-06-30 00:00:00"
"375","14486","2011-08-01 00:00:00"
"377","16441","2013-06-30 00:00:00"
"379","10338","2013-07-31 00:00:00"
"381","4173","2012-07-31 00:00:00"
"383","18570","2013-07-31 00:00:00"
"385","9102","2012-07-31 00:00:00"
"387","626","2011-10-31 00:00:00"
"389","5409","2012-08-30 00:00:00"
"391","2337","2011-05-31 00:00:00"
"393","5262","2013-07-31 00:00:00"
"397","6272","2012-07-31 00:00:00"
"405","11945","2012-10-30 00:00:00"
"407","14938","2013-07-31 00:00:00"
"409","6306","2013-06-30 00:00:00"
"411","181","2011-07-01 00:00:00"
"413","17315","2012-06-30 00:00:00"
"417","13667","2011-10-01 00:00:00"
"419","12491","2013-06-30 00:00:00"
"421","18295","2012-06-30 00:00:00"
"427","12189","2012-06-30 00:00:00"
"429","16173","2013-02-28 00:00:00"
"431","10057","2012-07-31 00:00:00"
"435","10187","2013-06-30 00:00:00"
"437","5528","2011-07-01 00:00:00"
"439","7083","2011-05-31 00:00:00"
"441","12492","2013-07-31 00:00:00"
"443","7657","2013-07-31 00:00:00"
"445","1977","2013-07-31 00:00:00"
"449","9647","2013-07-31 00:00:00"
"451","1684","2011-10-01 00:00:00"
"453","1163","2011-10-01 00:00:00"
"455","11087","2013-06-30 00:00:00"
"463","3513","2013-07-31 00:00:00"
"465","11282","2011-07-01 00:00:00"
"471","14489","2012-07-31 00:00:00"
"473","9772","2012-06-30 00:00:00"
"475","7777","2013-06-30 00:00:00"
"477","7293","2011-08-01 00:00:00"
"479","14814","2013-07-31 00:00:00"
"481","10832","2013-06-30 00:00:00"
"483","4322","2011-05-31 00:00:00"
"487","18017","2011-05-31 00:00:00"
"489","7527","2013-06-30 00:00:00"
"491","9458","2012-07-31 00:00:00"
"493","13917","2011-07-01 00:00:00"
"495","242","2011-05-31 00:00:00"
"497","14363","2011-07-01 00:00:00"
"501","17699","2013-07-31 00:00:00"
"503","8394","2012-07-31 00:00:00"
"505","3490","2012-07-31 00:00:00"
"507","12316","2013-06-30 00:00:00"
"509","6442","2012-07-31 00:00:00"
"511","319","2011-08-01 00:00:00"
"513","6920","2013-08-30 00:00:00"
"515","12857","2012-07-31 00:00:00"
"517","15232","2011-05-31 00:00:00"
"519","4524","2011-08-01 00:00:00"
"521","1359","2011-07-01 00:00:00"
"523","4789","2011-10-01 00:00:00"
"525","1803","2012-07-31 00:00:00"
